utterance_id,language,intent,text
BEN0001,Bengali,start_game,মেমোরি গেম শুরু করো
BEN0002,Bengali,start_game,মেমোরি গেম চালু করো
BEN0003,Bengali,start_game,গেম শুরু করো
BEN0004,Bengali,start_game,মেমোরি গেমটা শুরু করো
BEN0005,Bengali,start_game,খেলা শুরু করুন
BEN0006,Bengali,start_game,মেমোরি খেলা চালু করুন
BEN0007,Bengali,start_game,আমার জন্য মেমোরি গেম শুরু করো
BEN0008,Bengali,start_game,গেমটি শুরু করতে চাই
BEN0009,Bengali,start_game,মেমোরি গেম খেলতে চাই
BEN0010,Bengali,start_game,খেলাটি শুরু করো
BEN0011,Bengali,start_game,মেমোরি গেম শুরু করো
BEN0012,Bengali,start_game,মেমোরি গেম চালু করো
BEN0013,Bengali,start_game,গেম শুরু করো
BEN0014,Bengali,start_game,মেমোরি গেমটা শুরু করো
BEN0015,Bengali,start_game,খেলা শুরু করুন
BEN0016,Bengali,start_game,মেমোরি খেলা চালু করুন
BEN0017,Bengali,start_game,আমার জন্য মেমোরি গেম শুরু করো
BEN0018,Bengali,start_game,গেমটি শুরু করতে চাই
BEN0019,Bengali,start_game,মেমোরি গেম খেলতে চাই
BEN0020,Bengali,start_game,খেলাটি শুরু করো
BEN0021,Bengali,start_game,মেমোরি গেম শুরু করো
BEN0022,Bengali,start_game,মেমোরি গেম চালু করো
BEN0023,Bengali,start_game,গেম শুরু করো
BEN0024,Bengali,start_game,মেমোরি গেমটা শুরু করো
BEN0025,Bengali,start_game,খেলা শুরু করুন
BEN0026,Bengali,start_game,মেমোরি খেলা চালু করুন
BEN0027,Bengali,start_game,আমার জন্য মেমোরি গেম শুরু করো
BEN0028,Bengali,start_game,গেমটি শুরু করতে চাই
BEN0029,Bengali,start_game,মেমোরি গেম খেলতে চাই
BEN0030,Bengali,start_game,খেলাটি শুরু করো
BEN0031,Bengali,start_game,মেমোরি গেম শুরু করো
BEN0032,Bengali,start_game,মেমোরি গেম চালু করো
BEN0033,Bengali,start_game,গেম শুরু করো
BEN0034,Bengali,start_game,মেমোরি গেমটা শুরু করো
BEN0035,Bengali,start_game,খেলা শুরু করুন
BEN0036,Bengali,start_game,মেমোরি খেলা চালু করুন
BEN0037,Bengali,start_game,আমার জন্য মেমোরি গেম শুরু করো
BEN0038,Bengali,start_game,গেমটি শুরু করতে চাই
